###❝Raíz en esperanto❞,Las líneas marcadas como ❝(exactamente igual) raíz en esperanto❞ tienen la misma prioridad que aquellas con una cadena correspondiente para reemplazo  pero en realidad indican que no se realiza ningún reemplazo de caracteres (kanji).
Raíz en esperanto##,Traducción al español con anotaciones ruby##
adiaŭ,adiós
bis,¡Otra!
hura,¡hurra!
ŭa,¡Guau!
kia,qué tipo de
tia,tal
ĉia,todo
kies,cuyo
nenia,ningún
ali,otro
alt,alto
bel,hermoso
bon,bueno
jun,joven
nov,nuevo
sam,igual
fort,fuerte
grav,importante
kelk,algunos
last,último
long,largo
mult,mucho
plen,lleno
riĉ,rico
ruĝ,rojo
facil,fácil
grand,grande
liber,libre
rapid,rápido
feliĉ,feliz
proksim,cercano
fru,temprano
pur,puro
sol,solo
ver,verdadero
cert,seguro
nigr,negro
varm,caliente
afabl,amable
blank,blanco
dolĉ,dulce
neces,necesario
propr,propio
simpl,simple
dekstr,derecha
kuraĝ,valiente
trankvil,calmo
blu,azul
dik,grueso
gaj,alegre
hel,brillante
kar,querido
lac,cansado
san,sano
sat,lleno
just,justo
prav,correcto
pret,listo
util,útil
verd,verde
apart,separado
atent,atento
fremd,ajeno
ĝust,correcto
komun,común
larĝ,ancho
agrabl,agradable
divers,diverso
intern,interno
sufiĉ,suficiente
kontent,satisfecho
profund,profundo
mol,suave
pez,pesado
sek,seco
brun,marrón
egal,igual
flav,amarillo
griz,gris
kulp,culpable
lert,hábil
rekt,recto
saĝ,sabio
vast,amplio
ceter,restante
freŝ,fresco
simil,similar
kapabl,capaz
serioz,serio
efektiv,real
ordinar,común
akr,agudo
fam,famoso
ies,de alguien
avar,avaro
dens,denso
eben,plano
fier,orgulloso
firm,firme
nepr,absoluto
plat,plano
plur,múltiple
surd,sordo
vigl,ágil
fidel,fiel
kviet,calmo
matur,maduro
sankt,santo
spert,experto
subit,repentino
taŭg,apto
honest,honesto
konven,apropiado
plur,múltiple
preciz,preciso
strang,extraño
delikat,delicado
ĝentil,cortés
komfort,cómodo
pacienc,paciente
special,especial
ĝeneral,general
konstant,constante
lam,cojo
mut,mudo
nud,desnudo
pal,pálido
ruz,astuto
van,vano
acid,ácido
glat,liso
kler,culto
krud,crudo
mild,suave
abund,abundante
blind,ciego
blond,rubio
ĉarm,encantador
etern,eterno
favor,favorable
graci,elegante
humil,humilde
laŭt,fuerte
sever,estricto
stult,tonto
fortik,fuerte
frenez,loco
kurioz,curioso
privat,privado
sincer,sincero
evident,evidente
oportun,conveniente
prudent,sensato
sci/vol##,sci/vol##
diligent,diligente
proksim/um##,proksim/um##
ard,ardiente
avid,ansioso
brav,valiente
ebri,ebrio
krut,empinado
naiv,ingenuo
nobl,noble
sobr,sobrio
humid,húmedo
ident,idéntico
komik,cómico
kripl,lisiado
kruel,cruel
moder,moderado
sagac,agudo
seren,sereno
sprit,ingenioso
akurat,puntual
fervor,ferviente
inklin,propenso
ĵaluz,celoso
kapric,caprichoso
modern,moderno
modest,modesto
nenies,de nadie
normal,normal
sovaĝ,salvaje
ekstrem,extremo
elegant,elegante
eminent,distinguido
komplet,completo
oficial,oficial
perfekt,perfecto
probabl,probable
reciprok,mutuo
indiferent,indiferente
inteligent,sabio
amar,amargo
imun,inmune
real,real
ties,de ese
unik,único
vant,vano
virg,virgen
aktiv,activo
civil,civil
ĉies,de todos
elast,elástico
human,humano
intim,íntimo
kaduk,deteriorado
koket,coqueta
lojal,leal
malic,malicioso
mir/ind##,mir/ind##
raŭk,ronco
rigid,rígido
sekur,seguro
solen,solemne
tener,tierno
valid,válido
abrupt,brusco
absurd,absurdo
aktual,actual
arbitr,arbitrario
aŭdac,audaz
ekzakt,exacto
furioz,furioso
graved,embarazada
klasik,clásico
majest,majestuoso
nervoz,nervioso
oblikv,oblicuo
obstin,terco
plen/aĝ##,plen/aĝ##
