###❝جذر إسبرانتو❞,الأسطر التي تم تمييزها كـ ❝(مطابق تمامًا) جذر إسبرانتو❞ لها نفس الأولوية التي تمتلكها الأسطر التي تحتوي على سلسلة أحرف مقابلة للاستبدال، ولكنها في الواقع تشير إلى أنه لا يتم إجراء أي استبدال للأحرف (كانجي).
جذر إسبرانتو##,الترجمة العربية مع تعليقات روبي##
adiaŭ,وداع
bis,مرة أخرى
hura,هتاف
ŭa,وا!
kia,ما نوع
tia,مثل هذا
ĉia,كلّ
kies,لمن
nenia,لا شيء
ali,آخر
alt,عالٍ
bel,جميل
bon,جيد
jun,شاب
nov,جديد
sam,نفس
fort,قوي
grav,مهم
kelk,بعض
last,أخير
long,طويل
mult,كثير
plen,ممتلئ
riĉ,ثري
ruĝ,أحمر
facil,سهل
grand,كبير
liber,حرّ
rapid,سريع
feliĉ,سعيد
proksim,قريب
fru,مبكر
pur,نقي
sol,وحيد
ver,حقيقي
cert,مؤكد
nigr,أسود
varm,دافئ
afabl,ودود
blank,أبيض
dolĉ,حلو
neces,ضروري
propr,خاص
simpl,بسيط
dekstr,يمين
kuraĝ,شجاع
trankvil,هادئ
blu,أزرق
dik,سميك
gaj,مبتهج
hel,مشرق
kar,عزيز
lac,متعب
san,صحي
sat,ممتلئ
just,عادل
prav,صحيح
pret,جاهز
util,مفيد
verd,أخضر
apart,منفصل
atent,حذر
fremd,غريب
ĝust,صحيح
komun,مشترك
larĝ,واسع
agrabl,لطيف
divers,مختلف
intern,داخلي
sufiĉ,كافٍ
kontent,راضٍ
profund,عميق
mol,ناعم
pez,ثقيل
sek,جاف
brun,بني
egal,مساوٍ
flav,أصفر
griz,رمادي
kulp,مذنب
lert,ماهر
rekt,مباشر
saĝ,حكيم
vast,واسع
ceter,باقي
freŝ,طازج
simil,مشابه
kapabl,مؤهل
serioz,جاد
efektiv,حقيقي
ordinar,عادي
akr,حاد
fam,مشهور
ies,لشخص ما
avar,بخيل
dens,كثيف
eben,مستوٍ
fier,فخور
firm,ثابت
nepr,حتمي
plat,مسطح
plur,متعدد
surd,أصم
vigl,نشيط
fidel,مخلص
kviet,هادئ
matur,ناضج
sankt,مقدس
spert,خبير
subit,مفاجئ
taŭg,مناسب
honest,صادق
konven,مناسب
plur,متعدد
preciz,دقيق
strang,غريب
delikat,دقيق
ĝentil,مهذب
komfort,مريح
pacienc,صبور
special,خاص
ĝeneral,عام
konstant,ثابت
lam,عرج
mut,أبكم
nud,عارٍ
pal,باهت
ruz,ماكر
van,عبث
acid,حامض
glat,ناعم
kler,مثقف
krud,خام
mild,لطيف
abund,وفير
blind,أعمى
blond,أشقر
ĉarm,جذاب
etern,أبدي
favor,مؤاتٍ
graci,رشيق
humil,متواضع
laŭt,صاخب
sever,صارم
stult,غبي
fortik,قوي
frenez,مجنون
kurioz,غريب
privat,خاص
sincer,صادق
evident,واضح
oportun,مناسب
prudent,حكيم
sci/vol##,sci/vol##
diligent,مجتهد
proksim/um##,proksim/um##
ard,مشتعل
avid,طامع
brav,شجاع
ebri,سكران
krut,حاد
naiv,ساذج
nobl,نبيل
sobr,معتدل
humid,رطب
ident,مطابق
komik,مضحك
kripl,معاق
kruel,قاسي
moder,معتدل
sagac,ذكي
seren,هادئ
sprit,ذكي
akurat,دقيق
fervor,متحمس
inklin,ميل
ĵaluz,غيور
kapric,متقلب
modern,حديث
modest,متواضع
nenies,لا أحد
normal,طبيعي
sovaĝ,بري
ekstrem,أقصى
elegant,أنيق
eminent,بارز
komplet,تامّ
oficial,رسمي
perfekt,تامّ
probabl,محتمل
reciprok,متبادل
indiferent,غير مبالٍ
inteligent,ذكي
amar,مرّ
imun,محصن
real,حقيقي
ties,تلك
unik,فريد
vant,مغرور
virg,عذراء
aktiv,نشط
civil,مدني
ĉies,الجميع
elast,مرن
human,إنساني
intim,حميم
kaduk,متداعي
koket,مغازلة
lojal,مخلص
malic,خبيث
mir/ind##,mir/ind##
raŭk,أجش
rigid,صلب
sekur,آمن
solen,مهيب
tener,حنون
valid,صالح
abrupt,مفاجئ
absurd,غير معقول
aktual,حالي
arbitr,تعسفي
aŭdac,جريء
ekzakt,دقيق
furioz,غاضب
graved,حامل
klasik,كلاسيكي
majest,مهيب
nervoz,عصبي
oblikv,مائل
obstin,عنيد
plen/aĝ##,plen/aĝ##
social,اجتماعي
subtil,دقيق
tragik,مأساوي
absolut,مطلق
kontant,نقدي
popular,شائع
relativ,نسبي
sin/don##,sin/don##
solidar,متضامن
vegetar,نباتي
familiar,ودود
grandioz,رائع
kolektiv,جماعي
sin/gard##,sin/gard##
kompetent,مؤهل
universal,عالمي
kvit,خالي من الديون
miop,قَصِيرُ النَّظَرِ
punc,قرمزي
ranc,زنخ
ĉast,عفيف
ekstr,إضافي
masiv,ضخم
antikv,قديم
arogant,متغطرس
konform,متوافق
trivial,تافه
elokvent,بليغ
kriminal,جنائي
predikat,محمول
akut,حاد
dual,مزدوج
hirt,منتصب
kalv,أصلع
banal,مبتذل
cinik,ساخر
gotik,قوطي
inert,خامل
obtuz,باهت
okult,غامض
pasiv,سلبي
rigor,صارم
stoik,رواقية
analog,مماثل
anonim,مجهول
arkaik,قديم
diafan,شفاف
efemer,زائل
erotik,إيروتيكي
fiktiv,وهمي
formal,رسمي
frivol,طائش
intens,حاد
invers,عكسي
konciz,موجز
konkav,مقعّر
mistik,غامض
neŭtr,محايد
vulgar,عام
akcesor,ثانوي
apokrif,مشكوك فيه
arĥaik,عتيق
burlesk,ساخر
decimal,عشري
diskret,منفصل
fanatik,متعصب
grotesk,غريب
konkret,ملموس
kontinu,مستمر
liberal,ليبرالي
monoton,رتيب
negativ,سلبي
nominal,اسمي
pozitiv,إيجابي
radikal,جذري
skeptik,متشكك
solvent,مُذيب
abstrakt,مجرد
aŭtonom,مستقل
eventual,محتمل
inkluziv,شامل
neŭtral,محايد
objektiv,موضوعي
ortodoks,أرثوذكسي
primitiv,بدائي
provizor,مؤقت
racional,عقلاني
romantik,رومانسي
sinoptik,ملخص
spontane,عفوي
aŭtentik,أصيل
definitiv,نهائي
ekskluziv,حصري
korelativ,مرتبط
respektiv,مُقابِل
subjektiv,ذاتي
transitiv,متعدٍّ
spekulativ,تأملي
impertinent,وقح
konservativ,محافظ
sentimental,عاطفي
dek,عشرة
mil,ألف
sep,سبعة
ses,ستة
tri,ثلاث
unu,واحد
cent,مئة
kvar,أربعة
kvin,خمسة
naŭ,تسعة
aŭ,أو
nek,لا
sed,لكن
kvankam,لكن
plus,زائد
minus,ناقص
ĉe,عند
kun,معًا
per,بواسطة
pri,حول
pro,بسبب
sen,بدون
sub,تحت
sur,على
tra,عبر
apud,قرب
krom,إضافة
laŭ,وفقًا
post,بعد
inter,بين
super,فوق
trans,عبر
antaŭ,قبل
ekster,خارج
preter,تجاوز
kontraŭ,ضد
malgraŭ,رغم
ĝi,هو
ili,هم
kio,ما
oni,الناس
ŝi,هي
tio,ذلك
ĉio,كلّ
nenio,لا شيء
tio ĉi##,tio ĉi##
dis,منفصل
mal,عكس
ĉef,رئيسي
eks,سابق
mis,خطأ
pra,قديم
dev,يجب
dir,يقول
don,منح
est,يكون
far,يفعل
fin,نهاية
hav,يمتلك
kon,يعرف
leg,قرأ
lev,رفع
met,وضع
mov,تحريك
pet,طلب
pov,يستطيع
rid,ضحك
sci,يعرف
sid,جلس
ten,يمسك
ven,يأتي
vid,رؤية
viv,حيّ
vol,يريد
ĝoj,فرح
help,مساعدة
kred,يؤمن
lern,تعلم
loĝ,سكن
mort,يموت
okaz,يحدث
port,حمل
pren,أخذ
sekv,يتبع
send,إرسال
star,يقف
dezir,رغبة
labor,عمل
milit,حرب
montr,عرض
parol,تحدث
ricev,استلام
skrib,يكتب
ŝajn,يبدو
vetur,سفر
demand,يسأل
komenc,يبدأ
kompren,فهم
respond,يجيب
bat,ضرب
fal,سقوط
kri,صرخ
kur,ركض
las,سمح
lum,مضيء
mir,دهشة
pag,دفع
pas,مرّ
reg,حكم
son,صوت
tim,خوف
tir,سحب
aŭd,سمع
brul,يحترق
dank,شكر
dorm,نائم
ferm,أغلق
flug,طيران
halt,توقف
ĵet,رمى
kant,غناء
kost,ثمن
mank,ناقص
nask,يلد
okup,مشغول
pens,يفكر
perd,خسر
prem,ضغط
prov,اختبار
sent,يشعر
turn,دوران
aĉet,شراء
atend,انتظار
bezon,يحتاج
kresk,ينمو
manĝ,أكل
memor,يتذكر
serĉ,بحث
trink,يشرب
konsil,نصح
permes,إذن
postul,طلب
rakont,سرد
rigard,نظر
rimark,لاحظ
ŝanĝ,تغيير
vojaĝ,سفر
konstru,بناء
prezent,عرض
renkont,يلتقي
bru,ضجيج
dub,يشك
lav,غسل
lud,لعب
pen,بجهد
vek,أيقظ
vok,استدعاء
aper,ظهر
bril,تألق
erar,خطأ
fest,يحتفل
frap,ضرب
gajn,ربح
kapt,أمسك
kaŝ,إخفاء
kovr,غطِّ
kuir,طهي
kuŝ,مستلقي
paŝ,يمشي
plor,بكاء
romp,كسر
salt,قفز
serv,خدم
tuŝ,لمس
vend,بيع
zorg,رعاية
batal,قتال
elekt,اختيار
esper,أمل
koler,غاضب
mezur,قياس
opini,رأي
ordon,أمر
plend,يشكو
ripoz,استرخاء
salut,تحية
sufer,يعاني
akcept,قبول
forges,ينسى
kalkul,حساب
komerc,تجارة
konduk,يقود
pardon,يعفو
silent,صامت
tranĉ,قطع
konsent,يوافق
aŭskult,استماع
ban,اغتسل
flu,تدفق
kre,إنشاء
mok,يسخر
amuz,يمتع
ĉes,توقف
efik,فعال
gard,حراسة
juĝ,قض
klin,يميل
pend,يتدلى
puŝ,دفع
spir,تنفس
stud,يدرس
ŝat,يُقَدِّر
tond,قص
traf,يصيب
ating,وصل
decid,حسم
estim,احترام
invit,دعوة
kurac,علاج
marŝ,يسير
plaĉ,يروق
ripet,كرر
ŝlos,قفل
ŝtel,سرقة
vizit,زار
aranĝ,رتب
ekzist,يوجد
instru,تعليم
intenc,قصد
kompat,يرحم
prefer,يفضّل
prepar,تحضير
promen,يتنزه
promes,وعد
sukces,نجاح
konserv,حفظ
bol,يغلي
kis,يقبّل
obe,يطيع
paf,أطلق
pel,طارد
pik,طعن
pun,عاقب
sav,إنقاذ
tus,سعال
akir,يحصل
apog,دعم
atak,هاجم
bala,كنس
blov,نفخ
ĉas,مطاردة
danc,رقص
eduk,تربية
evit,تجنب
fleg,رعاية
glit,انزلاق
gvid,يرشد
ĝen,إزعاج
hejt,تدفئة
hont,خجل
imag,تخيّل
imit,قلد
komb,تمشيط
mend,طلب
miks,مزج
naĝ,سبح
plug,حرث
pres,طبع
