###❝Racine d'espéranto❞,Les lignes marquées ❝(exactement identique) racine d'espéranto❞ ont la même priorité que celles avec une chaîne correspondante de remplacement mais en réalité indiquent qu'aucun remplacement de caractères (kanji) n’est effectué.	
Racine d'espéranto##,Traduction française avec annotations ruby##
adiaŭ,adieu
bis,bis
hura,hourra
ŭa,ouah
kia,quel
tia,tel
ĉia,tous
kies,à qui
nenia,aucun
ali,autre
alt,haut
bel,beau
bon,bon
jun,jeune
nov,nouveau
sam,même
fort,fort
grav,important
kelk,quelques
last,dernier
long,long
mult,beaucoup
plen,plein
riĉ,riche
ruĝ,rouge
facil,simple
grand,grand
liber,libre
rapid,rapide
feliĉ,heureux
proksim,proche
fru,tôt
pur,pur
sol,seul
ver,vrai
cert,sûr
nigr,noir
varm,chaud
afabl,aimable
blank,blanc
dolĉ,doux
neces,nécessaire
propr,propre
simpl,simple
dekstr,droit
kuraĝ,courageux
trankvil,calme
blu,bleu
dik,épais
gaj,gai
hel,clair
kar,cher
lac,fatigué
san,sain
sat,rassasié
just,juste
prav,juste
pret,prêt
util,utile
verd,vert
apart,séparé
atent,attentif
fremd,étranger
ĝust,juste
komun,commun
larĝ,large
agrabl,agréable
divers,divers
intern,interne
sufiĉ,suffisant
kontent,satisfait
profund,profond
mol,doux
pez,lourd
sek,sec
brun,brun
egal,égal
flav,jaune
griz,gris
kulp,coupable
lert,habile
rekt,droit
saĝ,sage
vast,vaste
ceter,reste
freŝ,frais
simil,semblable
kapabl,capable
serioz,sérieux
efektiv,réel
ordinar,ordinaire
akr,aigu
fam,célèbre
ies,d'autrui
avar,avare
dens,dense
eben,plat
fier,fier
firm,solide
nepr,absolu
plat,plat
plur,plusieurs
surd,sourd
vigl,vif
fidel,fidèle
kviet,calme
matur,mûr
sankt,sacré
spert,expérimenté
subit,brusque
taŭg,apte
honest,honnête
konven,approprié
plur,plusieurs
preciz,précis
strang,étrange
delikat,délicat
ĝentil,poli
komfort,confortable
pacienc,patient
special,spécial
ĝeneral,général
konstant,constant
lam,boiteux
mut,muet
nud,nu
pal,pâle
ruz,rusé
van,vain
acid,acide
glat,lisse
kler,cultivé
krud,brut
mild,doux
abund,abondant
blind,aveugle
blond,blond
ĉarm,charmant
etern,éternel
favor,favorable
graci,élégant
humil,humble
laŭt,fort
sever,sévère
stult,stupide
fortik,solide
frenez,fou
kurioz,curieux
privat,privé
sincer,sincère
evident,évident
oportun,pratique
prudent,sage
sci/vol##,sci/vol##
diligent,assiduous
proksim/um##,proksim/um##
ard,ardent
avid,avide
brav,courageux
ebri,ivre
krut,abrupte
naiv,naïf
nobl,noble
sobr,sobre
humid,humide
ident,identique
komik,comique
kripl,infirme
kruel,cruel
moder,modéré
sagac,astucieux
seren,calme
sprit,esprit
akurat,précis
fervor,ardent
inklin,enclin
ĵaluz,jaloux
kapric,capricieux
modern,moderne
modest,modeste
nenies,à personne
normal,normal
sovaĝ,sauvage
ekstrem,extrême
elegant,élégant
eminent,éminent
komplet,complet
oficial,officiel
perfekt,parfait
probabl,probable
reciprok,mutuel
indiferent,indifférent
inteligent,sagace
amar,amer
imun,immunisé
real,réel
ties,de cela
unik,unique
vant,vain
virg,vierge
aktiv,actif
civil,civil
ĉies,de tous
elast,élastique
human,humain
intim,intime
kaduk,usé
koket,flirtant
lojal,loyal
malic,malveillant
mir/ind##,mir/ind##
raŭk,rauque
rigid,rigide
sekur,sûr
solen,solennel
tener,tendre
valid,valide
abrupt,brusque
absurd,absurde
aktual,actuel
arbitr,arbitraire
aŭdac,audacieux
ekzakt,précis
furioz,furieux
graved,enceinte
klasik,classique
majest,majestueux
nervoz,nerveux
oblikv,oblique
obstin,têtu
plen/aĝ##,plen/aĝ##
social,social
subtil,subtil
tragik,tragique
absolut,absolu
kontant,comptant
popular,populaire
relativ,relatif
sin/don##,sin/don##
solidar,solidaire
vegetar,végétarien
familiar,familier
grandioz,grandiose
kolektiv,collectif
sin/gard##,sin/gard##
kompetent,compétent
universal,universel
kvit,quitte
miop,myope
punc,rouge vif
ranc,ranci
